nama_kabupaten_kota,kode_kabupaten_kota,nama_provinsi,kode_provinsi
Aceh Barat,1107,Aceh,11
Aceh Barat Daya,1112,Aceh,11
Aceh Besar,1108,Aceh,11
Aceh Jaya,1116,Aceh,11
Aceh Selatan,1103,Aceh,11
Aceh Singkil,1102,Aceh,11
Aceh Tamiang,1114,Aceh,11
Aceh Tengah,1106,Aceh,11
Aceh Tenggara,1104,Aceh,11
Aceh Timur,1105,Aceh,11
Aceh Utara,1111,Aceh,11
Agam,1307,Sumatera Barat,13
Alor,5307,Nusa Tenggara Timur,53
Asahan,1208,Sumatera Utara,12
Asmat,9415,Papua,94
Badung,5103,Bali,51
Balangan,6311,Kalimantan Selatan,63
Bandung,3204,Jawa Barat,32
Bandung Barat,3217,Jawa Barat,32
Banggai,7202,Sulawesi Tengah,72
Banggai Kepulauan,7201,Sulawesi Tengah,72
Banggai Laut,7211,Sulawesi Tengah,72
Bangka,1901,Kepulauan Bangka Belitung,19
Bangka Barat,1903,Kepulauan Bangka Belitung,19
Bangka Selatan,1905,Kepulauan Bangka Belitung,19
Bangka Tengah,1904,Kepulauan Bangka Belitung,19
Bangkalan,3526,Jawa Timur,35
Bangli,5106,Bali,51
Banjar,6303,Kalimantan Selatan,63
Banjarnegara,3304,Jawa Tengah,33
Bantaeng,7303,Sulawesi Selatan,73
Bantul,3402,Daerah Istimewa Yogyakarta,34
Banyu Asin,1607,Sumatera Selatan,16
Banyumas,3302,Jawa Tengah,33
Banyuwangi,3510,Jawa Timur,35
Barito Kuala,6304,Kalimantan Selatan,63
Barito Selatan,6204,Kalimantan Tengah,62
Barito Timur,6212,Kalimantan Tengah,62
Barito Utara,6205,Kalimantan Tengah,62
Barru,7310,Sulawesi Selatan,73
Batang,3325,Jawa Tengah,33
Batang Hari,1504,Jambi,15
Batu Bara,1219,Sumatera Utara,12
Bekasi,3216,Jawa Barat,32
Belitung,1902,Kepulauan Bangka Belitung,19
Belitung Timur,1906,Kepulauan Bangka Belitung,19
Belu,5306,Nusa Tenggara Timur,53
Bener Meriah,1117,Aceh,11
Bengkalis,1408,Riau,14
Bengkayang,6102,Kalimantan Barat,61
Bengkulu Selatan,1701,Bengkulu,17
Bengkulu Tengah,1709,Bengkulu,17
Bengkulu Utara,1703,Bengkulu,17
Berau,6405,Kalimantan Timur,64
Biak Numfor,9409,Papua,94
Bima,5206,Nusa Tenggara Barat,52
Bintan,2102,Kepulauan Riau,21
Bireuen,1110,Aceh,11
Blitar,3505,Jawa Timur,35
Blora,3316,Jawa Tengah,33
Boalemo,7501,Gorontalo,75
Bogor,3201,Jawa Barat,32
Bojonegoro,3522,Jawa Timur,35
Bolaang Mongondow,7101,Sulawesi Utara,71
Bolaang Mongondow Selatan,7110,Sulawesi Utara,71
Bolaang Mongondow Timur,7111,Sulawesi Utara,71
Bolaang Mongondow Utara,7107,Sulawesi Utara,71
Bombana,7406,Sulawesi Tenggara,74
Bondowoso,3511,Jawa Timur,35
Bone,7311,Sulawesi Selatan,73
Bone Bolango,7504,Gorontalo,75
Boven Digoel,9413,Papua,94
Boyolali,3309,Jawa Tengah,33
Brebes,3329,Jawa Tengah,33
Buleleng,5108,Bali,51
Bulukumba,7302,Sulawesi Selatan,73
Bulungan,6502,Kalimantan Utara,65
Bungo,1509,Jambi,15
Buol,7207,Sulawesi Tengah,72
Buru,8104,Maluku,81
Buru Selatan,8109,Maluku,81
Buton,7401,Sulawesi Tenggara,74
Buton Selatan,7415,Sulawesi Tenggara,74
Buton Tengah,7414,Sulawesi Tenggara,74
Buton Utara,7409,Sulawesi Tenggara,74
Ciamis,3207,Jawa Barat,32
Cianjur,3203,Jawa Barat,32
Cilacap,3301,Jawa Tengah,33
Cirebon,3209,Jawa Barat,32
Dairi,1210,Sumatera Utara,12
Danau,1388,Sumatera Barat,13
Danau,1688,Sumatera Selatan,16
Danau,1888,Lampung,18
Danau,7188,Sulawesi Utara,71
Danau Toba,1288,Sumatera Utara,12
Deiyai,9436,Papua,94
Deli Serdang,1212,Sumatera Utara,12
Demak,3321,Jawa Tengah,33
Dharmasraya,1311,Sumatera Barat,13
Dogiyai,9434,Papua,94
Dompu,5205,Nusa Tenggara Barat,52
Donggala,7205,Sulawesi Tengah,72
Empat Lawang,1611,Sumatera Selatan,16
Ende,5311,Nusa Tenggara Timur,53
Enrekang,7316,Sulawesi Selatan,73
Fakfak,9101,Papua Barat,91
Flores Timur,5309,Nusa Tenggara Timur,53
Garut,3205,Jawa Barat,32
Gayo Lues,1113,Aceh,11
Gianyar,5104,Bali,51
Gorontalo,7502,Gorontalo,75
Gorontalo Utara,7505,Gorontalo,75
Gowa,7306,Sulawesi Selatan,73
Gresik,3525,Jawa Timur,35
Grobogan,3315,Jawa Tengah,33
Gunung Kidul,3403,Daerah Istimewa Yogyakarta,34
Gunung Mas,6211,Kalimantan Tengah,62
Halmahera Barat,8201,Maluku Utara,82
Halmahera Selatan,8204,Maluku Utara,82
Halmahera Tengah,8202,Maluku Utara,82
Halmahera Timur,8206,Maluku Utara,82
Halmahera Utara,8205,Maluku Utara,82
Hulu Sungai Selatan,6306,Kalimantan Selatan,63
Hulu Sungai Tengah,6307,Kalimantan Selatan,63
Hulu Sungai Utara,6308,Kalimantan Selatan,63
Humbang Hasundutan,1215,Sumatera Utara,12
Hutan,3399,Jawa Tengah,33
Indragiri Hilir,1403,Riau,14
Indragiri Hulu,1402,Riau,14
Indramayu,3212,Jawa Barat,32
Intan Jaya,9435,Papua,94
Jayapura,9403,Papua,94
Jayawijaya,9402,Papua,94
Jember,3509,Jawa Timur,35
Jembrana,5101,Bali,51
Jeneponto,7304,Sulawesi Selatan,73
Jepara,3320,Jawa Tengah,33
Jombang,3517,Jawa Timur,35
Kaimana,9102,Papua Barat,91
Kampar,1406,Riau,14
Kapuas,6203,Kalimantan Tengah,62
Kapuas Hulu,6108,Kalimantan Barat,61
Karang Asem,5107,Bali,51
Karanganyar,3313,Jawa Tengah,33
Karawang,3215,Jawa Barat,32
Karimun,2101,Kepulauan Riau,21
Karo,1211,Sumatera Utara,12
Katingan,6209,Kalimantan Tengah,62
Kaur,1704,Bengkulu,17
Kayong Utara,6111,Kalimantan Barat,61
Kebumen,3305,Jawa Tengah,33
Kediri,3506,Jawa Timur,35
Keerom,9420,Papua,94
Kendal,3324,Jawa Tengah,33
Kepahiang,1708,Bengkulu,17
Kepulauan Anambas,2105,Kepulauan Riau,21
Kepulauan Aru,8105,Maluku,81
Kepulauan Mentawai,1301,Sumatera Barat,13
Kepulauan Meranti,1410,Riau,14
Kepulauan Sangihe,7103,Sulawesi Utara,71
Kepulauan Selayar,7301,Sulawesi Selatan,73
Kepulauan Seribu,3101,Dki Jakarta,31
Kepulauan Sula,8203,Maluku Utara,82
Kepulauan Talaud,7104,Sulawesi Utara,71
Kepulauan Yapen,9408,Papua,94
Kerinci,1501,Jambi,15
Ketapang,6106,Kalimantan Barat,61
Klaten,3310,Jawa Tengah,33
Klungkung,5105,Bali,51
Kolaka,7404,Sulawesi Tenggara,74
Kolaka Timur,7411,Sulawesi Tenggara,74
Kolaka Utara,7408,Sulawesi Tenggara,74
Konawe,7403,Sulawesi Tenggara,74
Konawe Kepulauan,7412,Sulawesi Tenggara,74
Konawe Selatan,7405,Sulawesi Tenggara,74
Konawe Utara,7410,Sulawesi Tenggara,74
Kota Ambon,8171,Maluku,81
Kota Balikpapan,6471,Kalimantan Timur,64
Kota Banda Aceh,1171,Aceh,11
Kota Bandar Lampung,1871,Lampung,18
Kota Bandung,3273,Jawa Barat,32
Kota Banjar,3279,Jawa Barat,32
Kota Banjar Baru,6372,Kalimantan Selatan,63
Kota Banjarmasin,6371,Kalimantan Selatan,63
Kota Baru,6302,Kalimantan Selatan,63
Kota Batam,2171,Kepulauan Riau,21
Kota Batu,3579,Jawa Timur,35
Kota Baubau,7472,Sulawesi Tenggara,74
Kota Bekasi,3275,Jawa Barat,32
Kota Bengkulu,1771,Bengkulu,17
Kota Bima,5272,Nusa Tenggara Barat,52
Kota Binjai,1276,Sumatera Utara,12
Kota Bitung,7172,Sulawesi Utara,71
Kota Blitar,3572,Jawa Timur,35
Kota Bogor,3271,Jawa Barat,32
Kota Bontang,6474,Kalimantan Timur,64
Kota Bukittinggi,1375,Sumatera Barat,13
Kota Cilegon,3672,Banten,36
Kota Cimahi,3277,Jawa Barat,32
Kota Cirebon,3274,Jawa Barat,32
Kota Denpasar,5171,Bali,51
Kota Depok,3276,Jawa Barat,32
Kota Dumai,1473,Riau,14
Kota Gorontalo,7571,Gorontalo,75
Kota Gunungsitoli,1278,Sumatera Utara,12
Kota Jakarta Barat,3174,Dki Jakarta,31
Kota Jakarta Pusat,3173,Dki Jakarta,31
Kota Jakarta Selatan,3171,Dki Jakarta,31
Kota Jakarta Timur,3172,Dki Jakarta,31
Kota Jakarta Utara,3175,Dki Jakarta,31
Kota Jambi,1571,Jambi,15
Kota Jayapura,9471,Papua,94
Kota Kediri,3571,Jawa Timur,35
Kota Kendari,7471,Sulawesi Tenggara,74
Kota Kotamobagu,7174,Sulawesi Utara,71
Kota Kupang,5371,Nusa Tenggara Timur,53
Kota Langsa,1173,Aceh,11
Kota Lhokseumawe,1174,Aceh,11
Kota Lubuklinggau,1674,Sumatera Selatan,16
Kota Madiun,3577,Jawa Timur,35
Kota Magelang,3371,Jawa Tengah,33
Kota Makassar,7371,Sulawesi Selatan,73
Kota Malang,3573,Jawa Timur,35
Kota Manado,7171,Sulawesi Utara,71
Kota Mataram,5271,Nusa Tenggara Barat,52
Kota Medan,1275,Sumatera Utara,12
Kota Metro,1872,Lampung,18
Kota Mojokerto,3576,Jawa Timur,35
Kota Padang,1371,Sumatera Barat,13
Kota Padang Panjang,1374,Sumatera Barat,13
Kota Padangsidimpuan,1277,Sumatera Utara,12
Kota Pagar Alam,1673,Sumatera Selatan,16
Kota Palangka Raya,6271,Kalimantan Tengah,62
Kota Palembang,1671,Sumatera Selatan,16
Kota Palopo,7373,Sulawesi Selatan,73
Kota Palu,7271,Sulawesi Tengah,72
Kota Pangkal Pinang,1971,Kepulauan Bangka Belitung,19
Kota Parepare,7372,Sulawesi Selatan,73
Kota Pariaman,1377,Sumatera Barat,13
Kota Pasuruan,3575,Jawa Timur,35
Kota Payakumbuh,1376,Sumatera Barat,13
Kota Pekalongan,3375,Jawa Tengah,33
Kota Pekanbaru,1471,Riau,14
Kota Pematang Siantar,1273,Sumatera Utara,12
Kota Pontianak,6171,Kalimantan Barat,61
Kota Prabumulih,1672,Sumatera Selatan,16
Kota Probolinggo,3574,Jawa Timur,35
Kota Sabang,1172,Aceh,11
Kota Salatiga,3373,Jawa Tengah,33
Kota Samarinda,6472,Kalimantan Timur,64
Kota Sawah Lunto,1373,Sumatera Barat,13
Kota Semarang,3374,Jawa Tengah,33
Kota Serang,3673,Banten,36
Kota Sibolga,1271,Sumatera Utara,12
Kota Singkawang,6172,Kalimantan Barat,61
Kota Solok,1372,Sumatera Barat,13
Kota Sorong,9171,Papua Barat,91
Kota Subulussalam,1175,Aceh,11
Kota Sukabumi,3272,Jawa Barat,32
Kota Sungai Penuh,1572,Jambi,15
Kota Surabaya,3578,Jawa Timur,35
Kota Surakarta,3372,Jawa Tengah,33
Kota Tangerang,3671,Banten,36
Kota Tangerang Selatan,3674,Banten,36
Kota Tanjung Balai,1272,Sumatera Utara,12
Kota Tanjung Pinang,2172,Kepulauan Riau,21
Kota Tarakan,6571,Kalimantan Utara,65
Kota Tasikmalaya,3278,Jawa Barat,32
Kota Tebing Tinggi,1274,Sumatera Utara,12
Kota Tegal,3376,Jawa Tengah,33
Kota Ternate,8271,Maluku Utara,82
Kota Tidore Kepulauan,8272,Maluku Utara,82
Kota Tomohon,7173,Sulawesi Utara,71
Kota Tual,8172,Maluku,81
Kota Yogyakarta,3471,Daerah Istimewa Yogyakarta,34
Kotawaringin Barat,6201,Kalimantan Tengah,62
Kotawaringin Timur,6202,Kalimantan Tengah,62
Kuantan Singingi,1401,Riau,14
Kubu Raya,6112,Kalimantan Barat,61
Kudus,3319,Jawa Tengah,33
Kulon Progo,3401,Daerah Istimewa Yogyakarta,34
Kuningan,3208,Jawa Barat,32
Kupang,5303,Nusa Tenggara Timur,53
Kutai Barat,6402,Kalimantan Timur,64
Kutai Kartanegara,6403,Kalimantan Timur,64
Kutai Timur,6404,Kalimantan Timur,64
Labuhan Batu,1207,Sumatera Utara,12
Labuhan Batu Selatan,1222,Sumatera Utara,12
Labuhan Batu Utara,1223,Sumatera Utara,12
Lahat,1604,Sumatera Selatan,16
Lamandau,6207,Kalimantan Tengah,62
Lamongan,3524,Jawa Timur,35
Lampung Barat,1801,Lampung,18
Lampung Selatan,1803,Lampung,18
Lampung Tengah,1805,Lampung,18
Lampung Timur,1804,Lampung,18
Lampung Utara,1806,Lampung,18
Landak,6103,Kalimantan Barat,61
Langkat,1213,Sumatera Utara,12
Lanny Jaya,9430,Papua,94
Lebak,3602,Banten,36
Lebong,1707,Bengkulu,17
Lembata,5308,Nusa Tenggara Timur,53
Lima Puluh Kota,1308,Sumatera Barat,13
Lingga,2104,Kepulauan Riau,21
Lombok Barat,5201,Nusa Tenggara Barat,52
Lombok Tengah,5202,Nusa Tenggara Barat,52
Lombok Timur,5203,Nusa Tenggara Barat,52
Lombok Utara,5208,Nusa Tenggara Barat,52
Lumajang,3508,Jawa Timur,35
Luwu,7317,Sulawesi Selatan,73
Luwu Timur,7325,Sulawesi Selatan,73
Luwu Utara,7322,Sulawesi Selatan,73
Madiun,3519,Jawa Timur,35
Magelang,3308,Jawa Tengah,33
Magetan,3520,Jawa Timur,35
Mahakam Hulu,6411,Kalimantan Timur,64
Majalengka,3210,Jawa Barat,32
Majene,7601,Sulawesi Barat,76
Malaka,5321,Nusa Tenggara Timur,53
Malang,3507,Jawa Timur,35
Malinau,6501,Kalimantan Utara,65
Maluku Barat Daya,8108,Maluku,81
Maluku Tengah,8103,Maluku,81
Maluku Tenggara,8102,Maluku,81
Maluku Tenggara Barat,8101,Maluku,81
Mamasa,7603,Sulawesi Barat,76
Mamberamo Raya,9428,Papua,94
Mamberamo Tengah,9431,Papua,94
Mamuju,7604,Sulawesi Barat,76
Mamuju Tengah,7606,Sulawesi Barat,76
Mamuju Utara,7605,Sulawesi Barat,76
Mandailing Natal,1202,Sumatera Utara,12
Manggarai,5313,Nusa Tenggara Timur,53
Manggarai Barat,5315,Nusa Tenggara Timur,53
Manggarai Timur,5319,Nusa Tenggara Timur,53
Manokwari,9105,Papua Barat,91
Manokwari Selatan,9111,Papua Barat,91
Mappi,9414,Papua,94
Maros,7308,Sulawesi Selatan,73
Maybrat,9110,Papua Barat,91
Melawi,6110,Kalimantan Barat,61
Mempawah,6104,Kalimantan Barat,61
Merangin,1502,Jambi,15
Merauke,9401,Papua,94
Mesuji,1811,Lampung,18
Mimika,9412,Papua,94
Minahasa,7102,Sulawesi Utara,71
Minahasa Selatan,7105,Sulawesi Utara,71
Minahasa Tenggara,7109,Sulawesi Utara,71
Minahasa Utara,7106,Sulawesi Utara,71
Mojokerto,3516,Jawa Timur,35
Morowali,7203,Sulawesi Tengah,72
Morowali Utara,7212,Sulawesi Tengah,72
Muara Enim,1603,Sumatera Selatan,16
Muaro Jambi,1505,Jambi,15
Mukomuko,1706,Bengkulu,17
Muna,7402,Sulawesi Tenggara,74
Muna Barat,7413,Sulawesi Tenggara,74
Murung Raya,6213,Kalimantan Tengah,62
Musi Banyuasin,1606,Sumatera Selatan,16
Musi Rawas,1605,Sumatera Selatan,16
Musi Rawas Utara,1613,Sumatera Selatan,16
Nabire,9404,Papua,94
Nagan Raya,1115,Aceh,11
Nagekeo,5318,Nusa Tenggara Timur,53
Natuna,2103,Kepulauan Riau,21
Nduga,9429,Papua,94
Ngada,5312,Nusa Tenggara Timur,53
Nganjuk,3518,Jawa Timur,35
Ngawi,3521,Jawa Timur,35
Nias,1201,Sumatera Utara,12
Nias Barat,1225,Sumatera Utara,12
Nias Selatan,1214,Sumatera Utara,12
Nias Utara,1224,Sumatera Utara,12
Nunukan,6504,Kalimantan Utara,65
Ogan Ilir,1610,Sumatera Selatan,16
Ogan Komering Ilir,1602,Sumatera Selatan,16
Ogan Komering Ulu,1601,Sumatera Selatan,16
Ogan Komering Ulu Selatan,1608,Sumatera Selatan,16
Ogan Komering Ulu Timur,1609,Sumatera Selatan,16
Pacitan,3501,Jawa Timur,35
Padang Lawas,1221,Sumatera Utara,12
Padang Lawas Utara,1220,Sumatera Utara,12
Padang Pariaman,1306,Sumatera Barat,13
Pakpak Bharat,1216,Sumatera Utara,12
Pamekasan,3528,Jawa Timur,35
Pandeglang,3601,Banten,36
Pangandaran,3218,Jawa Barat,32
Pangkajene Dan Kepulauan,7309,Sulawesi Selatan,73
Paniai,9410,Papua,94
Parigi Moutong,7208,Sulawesi Tengah,72
Pasaman,1309,Sumatera Barat,13
Pasaman Barat,1312,Sumatera Barat,13
Paser,6401,Kalimantan Timur,64
Pasuruan,3514,Jawa Timur,35
Pati,3318,Jawa Tengah,33
Pegunungan Arfak,9112,Papua Barat,91
Pegunungan Bintang,9417,Papua,94
Pekalongan,3326,Jawa Tengah,33
Pelalawan,1404,Riau,14
Pemalang,3327,Jawa Tengah,33
Penajam Paser Utara,6409,Kalimantan Timur,64
Penukal Abab Lematang Ilir,1612,Sumatera Selatan,16
Pesawaran,1809,Lampung,18
Pesisir Barat,1813,Lampung,18
Pesisir Selatan,1302,Sumatera Barat,13
Pidie,1109,Aceh,11
Pidie Jaya,1118,Aceh,11
Pinrang,7315,Sulawesi Selatan,73
Pohuwato,7503,Gorontalo,75
Polewali Mandar,7602,Sulawesi Barat,76
Ponorogo,3502,Jawa Timur,35
Poso,7204,Sulawesi Tengah,72
Pringsewu,1810,Lampung,18
Probolinggo,3513,Jawa Timur,35
Pulang Pisau,6210,Kalimantan Tengah,62
Pulau Morotai,8207,Maluku Utara,82
Pulau Taliabu,8208,Maluku Utara,82
Puncak,9433,Papua,94
Puncak Jaya,9411,Papua,94
Purbalingga,3303,Jawa Tengah,33
Purwakarta,3214,Jawa Barat,32
Purworejo,3306,Jawa Tengah,33
Raja Ampat,9108,Papua Barat,91
Rejang Lebong,1702,Bengkulu,17
Rembang,3317,Jawa Tengah,33
Rokan Hilir,1409,Riau,14
Rokan Hulu,1407,Riau,14
Rote Ndao,5314,Nusa Tenggara Timur,53
Sabu Raijua,5320,Nusa Tenggara Timur,53
Sambas,6101,Kalimantan Barat,61
Samosir,1217,Sumatera Utara,12
Sampang,3527,Jawa Timur,35
Sanggau,6105,Kalimantan Barat,61
Sarmi,9419,Papua,94
Sarolangun,1503,Jambi,15
Sekadau,6109,Kalimantan Barat,61
Seluma,1705,Bengkulu,17
Semarang,3322,Jawa Tengah,33
Seram Bagian Barat,8106,Maluku,81
Seram Bagian Timur,8107,Maluku,81
Serang,3604,Banten,36
Serdang Bedagai,1218,Sumatera Utara,12
Seruyan,6208,Kalimantan Tengah,62
Siak,1405,Riau,14
Siau Tagulandang Biaro,7108,Sulawesi Utara,71
Sidenreng Rappang,7314,Sulawesi Selatan,73
Sidoarjo,3515,Jawa Timur,35
Sigi,7210,Sulawesi Tengah,72
Sijunjung,1304,Sumatera Barat,13
Sikka,5310,Nusa Tenggara Timur,53
Simalungun,1209,Sumatera Utara,12
Simeulue,1101,Aceh,11
Sinjai,7307,Sulawesi Selatan,73
Sintang,6107,Kalimantan Barat,61
Situbondo,3512,Jawa Timur,35
Sleman,3404,Daerah Istimewa Yogyakarta,34
Solok,1303,Sumatera Barat,13
Solok Selatan,1310,Sumatera Barat,13
Soppeng,7312,Sulawesi Selatan,73
Sorong,9107,Papua Barat,91
Sorong Selatan,9106,Papua Barat,91
Sragen,3314,Jawa Tengah,33
Subang,3213,Jawa Barat,32
Sukabumi,3202,Jawa Barat,32
Sukamara,6206,Kalimantan Tengah,62
Sukoharjo,3311,Jawa Tengah,33
Sumba Barat,5301,Nusa Tenggara Timur,53
Sumba Barat Daya,5317,Nusa Tenggara Timur,53
Sumba Tengah,5316,Nusa Tenggara Timur,53
Sumba Timur,5302,Nusa Tenggara Timur,53
Sumbawa,5204,Nusa Tenggara Barat,52
Sumbawa Barat,5207,Nusa Tenggara Barat,52
Sumedang,3211,Jawa Barat,32
Sumenep,3529,Jawa Timur,35
Supiori,9427,Papua,94
Tabalong,6309,Kalimantan Selatan,63
Tabanan,5102,Bali,51
Takalar,7305,Sulawesi Selatan,73
Tambrauw,9109,Papua Barat,91
Tana Tidung,6503,Kalimantan Utara,65
Tana Toraja,7318,Sulawesi Selatan,73
Tanah Bumbu,6310,Kalimantan Selatan,63
Tanah Datar,1305,Sumatera Barat,13
Tanah Laut,6301,Kalimantan Selatan,63
Tangerang,3603,Banten,36
Tanggamus,1802,Lampung,18
Tanjung Jabung Barat,1507,Jambi,15
Tanjung Jabung Timur,1506,Jambi,15
Tapanuli Selatan,1203,Sumatera Utara,12
Tapanuli Tengah,1204,Sumatera Utara,12
Tapanuli Utara,1205,Sumatera Utara,12
Tapin,6305,Kalimantan Selatan,63
Tasikmalaya,3206,Jawa Barat,32
Tebo,1508,Jambi,15
Tegal,3328,Jawa Tengah,33
Teluk Bintuni,9104,Papua Barat,91
Teluk Wondama,9103,Papua Barat,91
Temanggung,3323,Jawa Tengah,33
Timor Tengah Selatan,5304,Nusa Tenggara Timur,53
Timor Tengah Utara,5305,Nusa Tenggara Timur,53
Toba Samosir,1206,Sumatera Utara,12
Tojo Una-Una,7209,Sulawesi Tengah,72
Toli-Toli,7206,Sulawesi Tengah,72
Tolikara,9418,Papua,94
Toraja Utara,7326,Sulawesi Selatan,73
Trenggalek,3503,Jawa Timur,35
Tuban,3523,Jawa Timur,35
Tulang Bawang Barat,1812,Lampung,18
Tulangbawang,1808,Lampung,18
Tulungagung,3504,Jawa Timur,35
Waduk Cirata,3288,Jawa Barat,32
Wadung Kedungombo,3388,Jawa Tengah,33
Wajo,7313,Sulawesi Selatan,73
Wakatobi,7407,Sulawesi Tenggara,74
Waropen,9426,Papua,94
Way Kanan,1807,Lampung,18
Wonogiri,3312,Jawa Tengah,33
Wonosobo,3307,Jawa Tengah,33
Yahukimo,9416,Papua,94
Yalimo,9432,Papua,94
